algoritmo,n,W,V,instancia,semente,executado,tempo_s,valor_maximo,coerente,complexidade_nWV,observacao
programacao_dinamica,10,20,20,1,1,1,0.000060900,242,-1,4000,ok
backtracking,10,20,20,1,1,1,0.000006900,242,1,4000,ok
branch_bound,10,20,20,1,1,1,0.000013800,242,1,4000,ok
programacao_dinamica,10,20,20,2,2,1,0.000037500,258,-1,4000,ok
backtracking,10,20,20,2,2,1,0.000006700,258,1,4000,ok
branch_bound,10,20,20,2,2,1,0.000013300,258,1,4000,ok
programacao_dinamica,10,50,50,1,101,1,0.000188100,346,-1,25000,ok
backtracking,10,50,50,1,101,1,0.000006600,346,1,25000,ok
branch_bound,10,50,50,1,101,1,0.000013000,346,1,25000,ok
programacao_dinamica,10,50,50,2,102,1,0.000164600,315,-1,25000,ok
backtracking,10,50,50,2,102,1,0.000007000,315,1,25000,ok
branch_bound,10,50,50,2,102,1,0.000010000,315,1,25000,ok
programacao_dinamica,10,100,100,1,201,1,0.000763200,290,-1,100000,ok
backtracking,10,100,100,1,201,1,0.000008100,290,1,100000,ok
branch_bound,10,100,100,1,201,1,0.000011000,290,1,100000,ok
programacao_dinamica,10,100,100,2,202,1,0.000623300,360,-1,100000,ok
backtracking,10,100,100,2,202,1,0.000007600,360,1,100000,ok
branch_bound,10,100,100,2,202,1,0.000014000,360,1,100000,ok
