algoritmo,n,W,V,instancia,semente,executado,tempo_s,valor_maximo,coerente,complexidade_nWV,observacao
programacao_dinamica,10,20,20,1,1,1,0.000067900,242,-1,4000,ok
backtracking,10,20,20,1,1,1,0.000008100,242,1,4000,ok
branch_bound,10,20,20,1,1,1,0.000016100,242,1,4000,ok
programacao_dinamica,10,50,50,1,101,1,0.000219200,346,-1,25000,ok
backtracking,10,50,50,1,101,1,0.000007800,346,1,25000,ok
branch_bound,10,50,50,1,101,1,0.000014900,346,1,25000,ok
programacao_dinamica,10,100,100,1,201,1,0.000778500,290,-1,100000,ok
backtracking,10,100,100,1,201,1,0.000011200,290,1,100000,ok
branch_bound,10,100,100,1,201,1,0.000015300,290,1,100000,ok
programacao_dinamica,20,40,40,1,301,1,0.000290400,486,-1,32000,ok
backtracking,20,40,40,1,301,1,0.000090200,486,1,32000,ok
branch_bound,20,40,40,1,301,1,0.000021900,486,1,32000,ok
programacao_dinamica,20,100,100,1,401,1,0.001556900,413,-1,200000,ok
backtracking,20,100,100,1,401,1,0.000123100,413,1,200000,ok
branch_bound,20,100,100,1,401,1,0.000069500,413,1,200000,ok
programacao_dinamica,20,200,200,1,501,1,0.005139900,265,-1,800000,ok
backtracking,20,200,200,1,501,1,0.000072100,265,1,800000,ok
branch_bound,20,200,200,1,501,1,0.000068500,265,1,800000,ok
programacao_dinamica,30,60,60,1,601,1,0.000883600,639,-1,108000,ok
backtracking,30,60,60,1,601,0,-1.000000000,0,-1,108000,limite_n_backtracking
branch_bound,30,60,60,1,601,1,0.000212400,639,1,108000,ok
