algoritmo,n,W,V,instancia,semente,executado,tempo_s,valor_maximo,coerente,complexidade_nWV,observacao
programacao_dinamica,20,40,40,1,301,1,0.000272400,486,-1,32000,ok
backtracking,20,40,40,1,301,1,0.000080100,486,1,32000,ok
branch_bound,20,40,40,1,301,1,0.000019300,486,1,32000,ok
branch_bound_sem_inicial,20,40,40,1,301,1,0.000017000,486,1,32000,ok
programacao_dinamica,20,40,40,2,302,1,0.000225500,448,-1,32000,ok
backtracking,20,40,40,2,302,1,0.000094900,448,1,32000,ok
branch_bound,20,40,40,2,302,1,0.000033600,448,1,32000,ok
branch_bound_sem_inicial,20,40,40,2,302,1,0.000031400,448,1,32000,ok
programacao_dinamica,20,40,40,3,303,1,0.000254500,356,-1,32000,ok
backtracking,20,40,40,3,303,1,0.000034100,356,1,32000,ok
branch_bound,20,40,40,3,303,1,0.000022400,356,1,32000,ok
branch_bound_sem_inicial,20,40,40,3,303,1,0.000020400,356,1,32000,ok
